"species","lat","long","elev","intercept","confint","slope","confslope"
"AESHIP",54.0167,10.1667,45,0.0897115723999228,-0.0404774027097098,0.00889057598945118,-0.00381330679788424
"AESHIP",54.1,10.8167,10,0.0971598852181591,-6.69910257351664e-05,-4.59863144728143e-05,-0.00722372074478781
"AESHIP",54.4167,9.51667,15,0.149902311554999,0.0132915204985401,0.00116601483198628,-0.00873799949584587
"ALNGLU",42.8333,19.5167,944,0.834941269451939,0.652784502054612,-0.0143896656037936,-0.028174748199891
"ALNGLU",46.5,13.7167,864,0.479418645164501,0.311765286869293,-0.0317555124184958,-0.0502528180891711
"ALNGLU",47.5,11.2833,870,0.782407407407407,0.577851956442809,-0.0443899782135076,-0.0743071303125676
"ALNGLU",48.3833,12.1833,460,0.21655943809101,0.0646556419143301,0.00930723813568436,-0.00216149415016408
"ALNGLU",48.4167,8.08333,400,0.27721810899381,-0.026749556169874,0.00303434882874135,-0.0127788658250294
"ALNGLU",48.4333,10.4167,460,0.210015527950311,0.0665468741962922,0.0124223602484472,0.00169151336941639
"ALNGLU",48.75,13.5167,440,0.317880794701987,0.159106130745887,0.00414441358684042,-0.00850370884469392
"ALNGLU",48.7667,8.93333,410,0.195360195360195,0.00173417508347673,0.0173510699826489,-0.00794637614471179
"ALNGLU",49.1833,8.81667,240,0.145184809484562,-0.0263708943446713,-0.00767133709503582,-0.0353477047894008
"ALNGLU",49.2833,10.7833,440,0.697763885549411,0.453267436052234,-0.0133685982207261,-0.050484792005163
"ALNGLU",49.3,9.83333,280,0.335664335664336,0.0793758743819943,0.00299700299700299,-0.0426669786364256
"ALNGLU",49.4333,12.5833,530,0.38527546325084,0.221207447877508,0.0040417858475314,-0.00898605166462021
"ALNGLU",49.5,7.76667,250,0.109701626830755,0.0019133092534466,-0.000295445572210928,-0.00803954378469169
"ALNGLU",49.6333,7.66667,210,0.221052631578947,0.0236982337907798,-0.00526315789473684,-0.0359602044820783
"ALNGLU",49.9,8.85,140,0.185141387692279,0.0142764108447877,0.0287937231935881,0.014726413746156
"ALNGLU",49.9333,11.2833,400,0.355978260869565,0.202832033206854,-0.00148221343873518,-0.0129369018054873
"ALNGLU",49.95,10.2833,220,0.40513640033044,0.24649991244691,0.0116006768826682,-0.000309612949929225
"ALNGLU",49.9667,6.41667,220,0.188811188811189,-0.0439755648067733,0.022977022977023,-0.0184995616047757
"ALNGLU",50.1,8.3,200,0.705882352941177,0.405991791865063,-0.0203208556149733,-0.0886722580450496
"ALNGLU",50.15,8.61667,100,0.21327967806841,0.0172166939904591,-0.00925553319919517,-0.0418198223878145
"ALNGLU",50.1833,8.46667,340,0.161961931537556,-0.00418498810288523,-0.00676266099312337,-0.0309548240669571
"ALNGLU",50.55,7.1,130.2206,0.0673267326732673,-0.0810907492704193,0.0205091937765205,0.00298757986802876
"ALNGLU",50.7167,7.36667,220,0.120108368452739,-0.0609798716475199,0.0109121011438892,-0.0152986439271225
"ALNGLU",50.85,9.11667,240,0.553991260158583,0.29560121745377,-0.0157396239099915,-0.0372416065411826
"ALNGLU",50.95,11.75,250,0.432121212121212,0.179548286074285,-0.00818181818181818,-0.0297343758046781
"ALNGLU",50.9667,8.1,310,0.440643863179074,0.212704460205078,-0.0317907444668008,-0.0696494186619019
"ALNGLU",51.05,8.4,420,0.428872664334556,0.220464915967303,-0.00223053764489353,-0.0238124259853027
"ALNGLU",51.3833,9.96667,220,0.364528301886793,0.0537538457613642,-0.00955974842767296,-0.0414026638200016
"ALNGLU",51.4,8.06667,200,0.329411764705882,0.039109068856565,-0.0106951871657754,-0.0768613122993257
"ALNGLU",51.6,10.55,340,0.508701896675537,0.314930136303453,0.0151438347484476,-0.00571073479545204
"ALNGLU",51.95,9.73333,200,0.167351732237228,0.0179198720574137,0.00939518496770405,-0.00428884475642995
"ALNGLU",51.9833,6.93333,50,0.112482853223594,-0.0413538417723004,0.0150891632373114,-0.00035252156370051
"ALNGLU",52.0833,9.78333,80,0.0953947368421054,-0.0708599491055467,0.0335526315789473,0.0129312757332181
"ALNGLU",52.3833,11.4667,75,0.282451961251389,0.0705543471823644,-0.00192154994441797,-0.0171256945985371
"ALNGLU",52.6833,8.8,45,0.111489361702128,-0.13922461969763,0.0272340425531915,-0.0226599045664834
"ALNGLU",52.75,12.1,25,0.585660377358491,0.245526363564845,-0.00528301886792454,-0.0401342056685311
"ALNGLU",52.7833,7.23333,10,0.074978590201695,-0.14055507524602,0.0278179724182736,0.00608732116300939
"ALNGLU",52.85,11.3833,30,0.435185185185185,0.116086887186793,0.00925925925925926,-0.0221824303037618
"ALNGLU",52.9833,8.81667,11,0.317411716676873,0.0987933909601328,-0.0229638701775873,-0.0520269945103187
"ALNGLU",53.6167,9.31667,6,0.274725274725275,0.067799485310225,0.0123385386543281,-0.0146965365003835
