"species","lat","long","elev","intercept","confint","slope","confslope"
"ALNGLU",42.8333,19.5167,944,1.39271219568413,0.398386242098722,-0.0788174294813712,-0.147143657927192
"ALNGLU",46.5,13.7167,864,-1.09861228866828,-2.11073333817359,-15.7323892390876,-5384.89243195417
"ALNGLU",47.5,11.2833,870,0.970599695336897,-0.0088692261262211,-0.101890571365565,-0.238730873797668
"ALNGLU",48.3833,12.1833,460,-0.540620590017983,-1.22366202978994,-0.0126485606796885,-0.0660374320900801
"ALNGLU",48.4167,8.08333,400,-0.63634670298094,-1.87097993840244,-0.00954876434038982,-0.0754393908105981
"ALNGLU",48.4333,10.4167,460,-1.54274644735312,-2.35163008184266,0.0197641539373305,-0.0357439370521021
"ALNGLU",48.75,13.5167,440,-0.73708181584775,-1.42537634885568,-0.00417628228334048,-0.0596641860571945
"ALNGLU",48.7667,8.93333,410,-1.44010139835246,-2.47606378886363,0.0897887507439062,-0.0294320323416374
"ALNGLU",49.1833,8.81667,240,-0.689660208564895,-1.73985360398185,-0.0324699016531526,-0.210353585287996
"ALNGLU",49.2833,10.7833,440,0.0774895079912708,-0.870734991968187,-0.0188825223931935,-0.163086247111957
"ALNGLU",49.3,9.83333,280,0.434390940985592,-0.578563457813957,-0.184466897783225,-0.398325607456794
"ALNGLU",49.4333,12.5833,530,-0.943075770172456,-1.65184581183841,0.0392631305843132,-0.0138179375897652
"ALNGLU",49.5,7.76667,250,-1.68660922782182,-2.62623076769652,-0.0362765223299979,-0.122761170040438
"ALNGLU",49.6333,7.66667,210,-1.73730489847989,-2.99201373427156,0.0766650329585947,-0.0918019922839713
"ALNGLU",49.9,8.85,140,-0.394493661508628,-1.23360941243102,0.0214596698669812,-0.0471270888727907
"ALNGLU",49.9333,11.2833,400,-0.74713197945763,-1.41306276337955,0.00366086897937371,-0.0456604317239638
"ALNGLU",49.95,10.2833,220,-0.0134372608686329,-0.645573995564874,0.0260108427009295,-0.0232381739628288
